Window_Index,Min_Probability,Max_Probability,Avg_Probability
363,0.0,0.6,0.08
364,0.0,0.6,0.06666666666666667
365,0.0,0.6,0.05333333333333334
366,0.0,0.6,0.04
367,4.3999999999999995,92.80000000000001,31.799999999999994
368,39.6,93.4,64.02666666666666
369,52.0,94.6,71.22666666666667
370,58.599999999999994,97.0,77.61333333333333
371,64.2,98.2,82.02666666666667
372,65.60000000000001,99.2,84.74666666666667
373,65.8,99.6,86.58666666666667
374,65.2,99.6,88.06666666666668
375,68.2,99.6,88.78666666666665
376,70.19999999999999,99.6,90.05333333333333
377,71.2,99.6,91.0
378,72.39999999999999,99.6,91.49333333333334
379,71.8,99.6,91.41333333333334
380,75.8,99.6,91.84000000000002
381,76.8,99.6,92.02666666666667
382,76.4,99.6,91.97333333333333
383,77.0,99.6,92.06666666666666
384,77.0,99.6,91.75999999999999
385,77.2,99.6,91.50666666666667
386,77.0,99.6,91.22666666666667
387,76.4,99.6,90.88
388,75.4,99.6,90.46666666666667
389,75.0,99.4,90.8
390,74.4,99.4,90.58666666666667
391,73.8,99.4,90.32000000000001
392,68.8,99.4,88.97333333333334
393,65.2,99.4,88.6
394,56.2,99.4,87.57333333333332
395,48.199999999999996,99.2,86.42666666666666
396,39.800000000000004,99.6,85.86666666666666
397,34.599999999999994,99.6,84.90666666666667
398,30.4,99.6,83.57333333333332
399,23.400000000000002,99.6,83.25333333333334
400,21.0,100.0,82.66666666666667
401,18.0,100.0,81.62666666666667
402,25.2,100.0,81.84
403,41.199999999999996,100.0,85.45333333333332
404,37.8,100.0,84.90666666666667
405,34.599999999999994,100.0,84.83999999999999
406,34.0,100.0,84.96000000000001
407,33.4,100.0,84.97333333333331
408,35.4,100.0,84.77333333333334
